State,Rank,Provider,NPI,City,Specialty,Total paid 2018-2024 (dollars),Claim lines
NY,7,"HEART TO HEART HOME CARE, INC.",1275657553,BROOKLYN,Home Health Agency,1101805508,7622788.0
NY,8,MARKS HOMECARE AGENCY INC,1376097303,CORONA,In Home Supportive Care Agency,1081433654,6692439.0
NY,9,"NEW PARTNERS, INC",1083783013,NEW YORK,Home Health Agency,1077338913,5875685.0
NY,10,"CONCEPTS OF INDEPENDENCE, INC.",1184703415,NEW YORK,Home Health Agency,1061895503,5014993.0
NY,11,COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICES INC,1396049987,NEW YORK,Case Management Agency,1042800867,2756526.0
NY,12,HEALTH ACQUISITION CORP.,1518049485,FOREST HILLS,Home Health Agency,1025571708,5716139.0
NY,13,"CARING PROFESSIONALS, INC",1457410904,FOREST HILLS,Home Health Agency,953479646,5589304.0
NY,14,MONTEFIORE MEDICAL CENTER,1952476988,BRONX,General Acute Care Hospital,952875134,16972149.0
NY,15,PLATINUM HOME HEALTH CARE INC.,1871821710,BROOKLYN,Home Health Agency,865869712,4759409.0
NY,16,C AND T HOMECARE SERVICES LLC,1033571658,GREAT NECK,In Home Supportive Care Agency,848194230,5704761.0
NY,17,"HOME FAMILY CARE, INC",1801060363,BROOKLYN,Home Health Agency,842516857,5447797.0
NY,18,HUMAN CARE LLC,1730438706,BROOKLYN,Home Health Agency,840366313,4927958.0
NY,19,"A & J STAFFING, INC",1770022691,BROOKLYN,Home Health Agency,775245885,5661059.0
NY,20,"S & A UNIFIED HOME CARE, INC.",1457562811,BROOKLYN,Home Health Agency,767949457,4839525.0
TX,1,"GIRLING HEALTH CARE, INC.",1053321869,AUSTIN,Home Modifications Contractor,858150619,14796740.0
TX,2,"AOC TX, LLC",1952346876,SHERMAN,Case Management Agency,708322307,1625613.0
TX,3,"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",1801027404,SAN ANTONIO,Case Management Agency,624633149,3405467.0
TX,4,CAREGIVERS HOME HEALTH TX INC,1689712481,RICHARDSON,Home Health Agency,477728090,3981022.0
TX,5,"LEGACY COMMUNITY HEALTH SERVICES, INC",1679524961,HOUSTON,Pediatrics Physician,406409251,4848703.0
TX,6,"ADVANCE HI-TECH NURSING, INC.",1962432682,SAN ANTONIO,Developmentally Disabled Services Day Training Agency,399501014,6343798.0
TX,7,DEPARTMENT OF STATE HEALTH SERVICES,1114931391,AUSTIN,Clinical Medical Laboratory,381851367,2710132.0
TX,8,"DISABILITY SERVICES OF THE SOUTHWEST, INC",1700960580,SAN ANTONIO,Developmentally Disabled Services Day Training Agency,302344560,3121511.0
TX,9,COOK CHILDREN'S MEDICAL CENTER,1891765178,FORT WORTH,Ambulatory Surgical Clinic/Center,286507724,1085797.0
TX,10,TEXAS CHILDREN'S HOSPITAL,1477643690,HOUSTON,Ambulatory Surgical Clinic/Center,277228706,1753066.0
TX,11,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,1790721538,IRVING,Clinical Medical Laboratory,276867353,26930424.0
TX,12,CHILDREN'S HEALTH SYSTEM OF TEXAS,1194743013,DALLAS,Behavior Analyst,263488713,1363456.0
TX,13,"IN-HOME ATTENDANT SERVICES, LTD.",1467523746,HOUSTON,Developmentally Disabled Services Day Training Agency,261236855,3958340.0
TX,14,"CHARTWELL COMMUNITY SERVICES, INC.",1366580706,ARLINGTON,Developmentally Disabled Services Day Training Agency,253391946,4490980.0
TX,15,HHSC WIC PROGRAM,1245765163,AUSTIN,Pharmacy,244563293,1678806.0
TX,16,"LEGACY HOME HEALTH AGENCY, INC.",1689652166,CORPUS CHRISTI,Home Health Agency,244212324,4320154.0
TX,17,DAYBREAK COMMUNITY SERVICES TEXAS LLC,1437534559,FORT WORTH,Community/Behavioral Health Agency,243144696,2301244.0
TX,18,"TEXAS HOME HEALTH OF AMERICA, L.P.",1689682932,DALLAS,Developmentally Disabled Services Day Training Agency,216282182,4012270.0
TX,19,"SAINT BENEDICTS HOME HEALTH, INC.",1205033289,ROBSTOWN,Developmentally Disabled Services Day Training Agency,200957606,3948019.0
TX,20,"HEALTHTRACKRX INDIANA, INC",1689639544,DENTON,Clinical Medical Laboratory,193093317,6917179.0
